idpedido;cliente;importe;iva;total;pais
10424;MEREP;370,61;77,83;448,44;Canada
10425;LAMAI;7,93;1,67;9,60;Francia
10426;GALED;18,69;3,92;22,61;Espanya
10427;PICCO;31,29;6,57;37,86;Austria
10428;REGGC;11,09;2,33;13,42;Italia
10429;HUNGO;56,63;11,89;68,52;Irlanda
10430;ERNSH;458,78;96,34;555,12;Austria
10431;BOTTM;44,17;9,28;53,45;Canada
10432;SPLIR;4,34;0,91;5,25;Estados Unidos
10433;PRINI;73,83;15,50;89,33;Portugal
10434;FOLKO;17,92;3,76;21,68;Suecia
10435;CONSH;9,21;1,93;11,14;Reino Unido
10436;BLONP;156,66;32,90;189,56;Francia
10437;WARTH;19,97;4,19;24,16;Finlandia
10438;TOMSP;8,24;1,73;9,97;Alemania
10439;MEREP;4,07;0,85;4,92;Canada
10440;SAVEA;86,53;18,17;104,70;Estados Unidos
10441;OLDWO;73,02;15,33;88,35;Estados Unidos
10442;ERNSH;47,94;10,07;58,01;Austria
10443;REGGC;13,95;2,93;16,88;Italia
10444;BERGS;3,50;0,74;4,24;Suecia
10445;BERGS;9,30;1,95;11,25;Suecia
10446;TOMSP;14,68;3,08;17,76;Alemania
10447;RICAR;68,66;14,42;83,08;Brasil
10448;RANCH;38,82;8,15;46,97;Argentina
10449;BLONP;53,30;11,19;64,49;Francia
10450;VICTE;7,23;1,52;8,75;Francia
10451;QUICK;189,09;39,71;228,80;Alemania
10452;SAVEA;140,26;29,45;169,71;Estados Unidos
10453;AROUT;25,36;5,33;30,69;Reino Unido
10454;LAMAI;2,74;0,58;3,32;Francia
10455;WARTH;180,45;37,89;218,34;Finlandia
10456;KOENE;8,12;1,71;9,83;Alemania
10457;KOENE;11,57;2,43;14,00;Alemania
10458;SUPRD;147,06;30,88;177,94;Belgica
10459;VICTE;25,09;5,27;30,36;Francia
10460;FOLKO;16,27;3,42;19,69;Suecia
10461;LILAS;148,61;31,21;179,82;Venezuela
10462;CONSH;6,17;1,30;7,47;Reino Unido
10463;SUPRD;14,78;3,10;17,88;Belgica
10464;FURIB;89,00;18,69;107,69;Portugal
10465;VAFFE;145,04;30,46;175,50;Dinamarca
10466;COMMI;11,93;2,51;14,44;Brasil
10467;MAGAA;4,93;1,04;5,97;Italia
10468;KOENE;44,12;9,27;53,39;Alemania
10469;WHITC;60,18;12,64;72,82;Estados Unidos
10470;BONAP;64,56;13,56;78,12;Francia
10471;BSBEV;45,59;9,57;55,16;Reino Unido
10472;SEVES;4,20;0,88;5,08;Reino Unido
10473;ISLAT;16,37;3,44;19,81;Reino Unido
10474;PERIC;83,49;17,53;101,02;Mexico
10475;SUPRD;68,52;14,39;82,91;Belgica
10476;HILAA;4,41;0,93;5,34;Venezuela
10477;PRINI;13,02;2,73;15,75;Portugal
10478;VICTE;4,81;1,01;5,82;Francia
10479;RATTC;708,95;148,88;857,83;Estados Unidos
10480;FOLIG;1,35;0,28;1,63;Francia
10481;RICAR;64,33;13,51;77,84;Brasil
10482;LAZYK;7,48;1,57;9,05;Estados Unidos
10483;WHITC;15,28;3,21;18,49;Estados Unidos
10484;BSBEV;6,88;1,44;8,32;Reino Unido
10485;LINOD;64,45;13,53;77,98;Venezuela
10486;HILAA;30,53;6,41;36,94;Venezuela
10487;QUEEN;71,07;14,92;85,99;Brasil
10488;FRANK;4,93;1,04;5,97;Alemania
10489;PICCO;5,29;1,11;6,40;Austria
10490;HILAA;210,19;44,14;254,33;Venezuela
10491;FURIB;16,96;3,56;20,52;Portugal
10492;BOTTM;62,89;13,21;76,10;Canada
10493;LAMAI;10,64;2,23;12,87;Francia
10494;COMMI;65,99;13,86;79,85;Brasil
10495;LAUGB;4,65;0,98;5,63;Canada
10496;TRADH;46,77;9,82;56,59;Brasil
10497;LEHMS;36,21;7,60;43,81;Alemania
10498;HILAA;29,75;6,25;36,00;Venezuela
10499;LILAS;102,02;21,42;123,44;Venezuela
10500;LAMAI;42,68;8,96;51,64;Francia
10501;BLAUS;8,85;1,86;10,71;Alemania
10502;PERIC;69,32;14,56;83,88;Mexico
10503;HUNGO;16,74;3,52;20,26;Irlanda
10504;WHITC;59,13;12,42;71,55;Estados Unidos
10505;MEREP;7,13;1,50;8,63;Canada
10506;KOENE;21,19;4,45;25,64;Alemania
10507;ANTON;47,45;9,96;57,41;Mexico
10508;OTTIK;4,99;1,05;6,04;Alemania
10509;BLAUS;0,15;0,03;0,18;Alemania
10510;SAVEA;367,63;77,20;444,83;Estados Unidos
10511;BONAP;350,64;73,63;424,27;Francia
10512;FAMIA;3,53;0,74;4,27;Brasil
10513;WANDK;105,65;22,19;127,84;Alemania
10514;ERNSH;789,95;165,89;955,84;Austria
10515;QUICK;204,47;42,94;247,41;Alemania
10516;HUNGO;62,78;13,18;75,96;Irlanda
10517;NORTS;32,07;6,73;38,80;Reino Unido
10518;TORTU;218,15;45,81;263,96;Mexico
10519;CHOPS;91,76;19,27;111,03;Suiza
10520;SANTG;13,37;2,81;16,18;Noruega
10521;CACTU;17,22;3,62;20,84;Argentina
10522;LEHMS;45,33;9,52;54,85;Alemania
10523;SEVES;77,63;16,30;93,93;Reino Unido
10524;BERGS;244,79;51,41;296,20;Suecia
10525;BONAP;11,06;2,32;13,38;Francia
10526;WARTH;58,59;12,30;70,89;Finlandia
10527;QUICK;41,90;8,80;50,70;Alemania
10528;GREAL;3,35;0,70;4,05;Estados Unidos
10529;MAISD;66,69;14,00;80,69;Belgica
10530;PICCO;339,22;71,24;410,46;Austria
10531;OCEAN;8,12;1,71;9,83;Argentina
10532;EASTC;74,46;15,64;90,10;Reino Unido
10533;FOLKO;188,04;39,49;227,53;Suecia
10534;LEHMS;27,94;5,87;33,81;Alemania
10535;ANTON;15,64;3,28;18,92;Mexico
10536;LEHMS;58,88;12,36;71,24;Alemania
10537;RICSU;78,85;16,56;95,41;Suiza
10538;BSBEV;4,87;1,02;5,89;Reino Unido
10539;BSBEV;12,36;2,60;14,96;Reino Unido
10540;QUICK;1007,64;211,60;1219,24;Alemania
10541;HANAR;68,65;14,42;83,07;Brasil
10542;KOENE;10,95;2,30;13,25;Alemania
10543;LILAS;48,17;10,12;58,29;Venezuela
10544;LONEP;24,91;5,23;30,14;Estados Unidos
10545;LAZYK;11,92;2,50;14,42;Estados Unidos
10546;VICTE;194,72;40,89;235,61;Francia
10547;SEVES;178,43;37,47;215,90;Reino Unido
10548;TOMSP;1,43;0,30;1,73;Alemania
10549;QUICK;171,24;35,96;207,20;Alemania
10550;GODOS;4,32;0,91;5,23;Espanya
10551;FURIB;72,95;15,32;88,27;Portugal
10552;HILAA;83,22;17,48;100,70;Venezuela
10553;WARTH;149,49;31,39;180,88;Finlandia
10554;OTTIK;120,97;25,40;146,37;Alemania
10555;SAVEA;252,49;53,02;305,51;Estados Unidos
10556;SIMOB;9,80;2,06;11,86;Dinamarca
10557;LEHMS;96,72;20,31;117,03;Alemania
10558;AROUT;72,97;15,32;88,29;Reino Unido
10559;BLONP;8,05;1,69;9,74;Francia
10560;FRANK;36,65;7,70;44,35;Alemania
10561;FOLKO;242,21;50,86;293,07;Suecia
10562;REGGC;22,95;4,82;27,77;Italia
10563;RICAR;60,43;12,69;73,12;Brasil
10564;RATTC;13,75;2,89;16,64;Estados Unidos
10565;MEREP;7,15;1,50;8,65;Canada
10566;BLONP;88,40;18,56;106,96;Francia
10567;HUNGO;33,97;7,13;41,10;Irlanda
10568;GALED;6,54;1,37;7,91;Espanya
10569;RATTC;58,98;12,39;71,37;Estados Unidos
10570;MEREP;188,99;39,69;228,68;Canada
10571;ERNSH;26,06;5,47;31,53;Austria
10572;BERGS;116,43;24,45;140,88;Suecia
10573;ANTON;84,84;17,82;102,66;Mexico
10574;TRAIH;37,60;7,90;45,50;Estados Unidos
10575;MORGK;127,34;26,74;154,08;Alemania
10576;TORTU;18,56;3,90;22,46;Mexico
10577;TRAIH;25,41;5,34;30,75;Estados Unidos
10578;BSBEV;29,60;6,22;35,82;Reino Unido
10579;LETSS;13,73;2,88;16,61;Estados Unidos
10580;OTTIK;75,89;15,94;91,83;Alemania
10581;FAMIA;3,01;0,63;3,64;Brasil
10582;BLAUS;27,71;5,82;33,53;Alemania
10583;WARTH;7,28;1,53;8,81;Finlandia
10584;BLONP;59,14;12,42;71,56;Francia
10585;WELLI;13,41;2,82;16,23;Brasil
10586;REGGC;0,48;0,10;0,58;Italia
10587;QUEDE;62,52;13,13;75,65;Brasil
10588;QUICK;194,67;40,88;235,55;Alemania
10589;GREAL;4,42;0,93;5,35;Estados Unidos
10590;MEREP;44,77;9,40;54,17;Canada
10591;VAFFE;55,92;11,74;67,66;Dinamarca
10592;LEHMS;32,10;6,74;38,84;Alemania
10593;LEHMS;174,20;36,58;210,78;Alemania
10594;OLDWO;5,24;1,10;6,34;Estados Unidos
10595;ERNSH;96,78;20,32;117,10;Austria
10596;WHITC;16,34;3,43;19,77;Estados Unidos
10597;PICCO;35,12;7,38;42,50;Austria
10598;RATTC;44,42;9,33;53,75;Estados Unidos
10599;BSBEV;29,98;6,30;36,28;Reino Unido
10600;HUNGC;45,13;9,48;54,61;Estados Unidos
10601;HILAA;58,30;12,24;70,54;Venezuela
10602;VAFFE;2,92;0,61;3,53;Dinamarca
10603;SAVEA;48,77;10,24;59,01;Estados Unidos
10604;FURIB;7,46;1,57;9,03;Portugal
10605;MEREP;379,13;79,62;458,75;Canada
10606;TRADH;79,40;16,67;96,07;Brasil
10607;SAVEA;200,24;42,05;242,29;Estados Unidos
10608;TOMSP;27,79;5,84;33,63;Alemania
10609;DUMON;1,85;0,39;2,24;Francia
10610;LAMAI;26,78;5,62;32,40;Francia
10611;WOLZA;80,65;16,94;97,59;Polonia
10612;SAVEA;544,08;114,26;658,34;Estados Unidos
10613;HILAA;8,11;1,70;9,81;Venezuela
10614;BLAUS;1,93;0,41;2,34;Alemania
10615;WILMK;0,75;0,16;0,91;Finlandia
10616;GREAL;116,53;24,47;141,00;Estados Unidos
10617;GREAL;18,53;3,89;22,42;Estados Unidos
10618;MEREP;154,68;32,48;187,16;Canada
10619;MEREP;91,05;19,12;110,17;Canada
10620;LAUGB;0,94;0,20;1,14;Canada
10621;ISLAT;23,73;4,98;28,71;Reino Unido
10622;RICAR;50,97;10,70;61,67;Brasil
10623;FRANK;97,18;20,41;117,59;Alemania
10624;THECR;94,80;19,91;114,71;Estados Unidos
10625;ANATR;43,90;9,22;53,12;Mexico
10626;BERGS;138,69;29,12;167,81;Suecia
10627;SAVEA;107,46;22,57;130,03;Estados Unidos
10628;BLONP;30,36;6,38;36,74;Francia
10629;GODOS;85,46;17,95;103,41;Espanya
10630;KOENE;32,35;6,79;39,14;Alemania
10631;LAMAI;0,87;0,18;1,05;Francia
10632;WANDK;41,38;8,69;50,07;Alemania
10633;ERNSH;477,90;100,36;578,26;Austria
10634;FOLIG;487,38;102,35;589,73;Francia
10635;MAGAA;47,46;9,97;57,43;Italia
10636;WARTH;1,15;0,24;1,39;Finlandia
10637;QUEEN;201,29;42,27;243,56;Brasil
10638;LINOD;158,44;33,27;191,71;Venezuela
10639;SANTG;38,64;8,11;46,75;Noruega
10640;WANDK;23,55;4,95;28,50;Alemania
10641;HILAA;179,61;37,72;217,33;Venezuela
10642;SIMOB;41,89;8,80;50,69;Dinamarca
10643;ALFKI;29,46;6,19;35,65;Alemania
10644;WELLI;0,14;0,03;0,17;Brasil
10645;HANAR;12,41;2,61;15,02;Brasil
10646;HUNGO;142,33;29,89;172,22;Irlanda
10647;QUEDE;45,54;9,56;55,10;Brasil
10648;RICAR;14,25;2,99;17,24;Brasil
10649;MAISD;6,20;1,30;7,50;Belgica
10650;FAMIA;176,81;37,13;213,94;Brasil
10651;WANDK;20,60;4,33;24,93;Alemania
10652;GOURL;7,14;1,50;8,64;Brasil
10653;FRANK;93,25;19,58;112,83;Alemania
10654;BERGS;55,26;11,60;66,86;Suecia
10655;REGGC;4,41;0,93;5,34;Italia
10656;GREAL;57,15;12,00;69,15;Estados Unidos
10657;SAVEA;352,69;74,06;426,75;Estados Unidos
10658;QUICK;364,15;76,47;440,62;Alemania
10659;QUEEN;105,81;22,22;128,03;Brasil
10660;HUNGC;111,29;23,37;134,66;Estados Unidos
10661;HUNGO;17,55;3,69;21,24;Irlanda
10662;LONEP;1,28;0,27;1,55;Estados Unidos
10663;BONAP;113,15;23,76;136,91;Francia
10664;FURIB;1,27;0,27;1,54;Portugal
10665;LONEP;26,31;5,53;31,84;Estados Unidos
10666;RICSU;232,42;48,81;281,23;Suiza
10667;ERNSH;78,09;16,40;94,49;Austria
10668;WANDK;47,22;9,92;57,14;Alemania
10669;SIMOB;24,39;5,12;29,51;Dinamarca
10670;FRANK;203,48;42,73;246,21;Alemania
10671;FRANR;30,34;6,37;36,71;Francia
10672;BERGS;95,75;20,11;115,86;Suecia
10673;WILMK;22,76;4,78;27,54;Finlandia
10674;ISLAT;0,90;0,19;1,09;Reino Unido
10675;FRANK;31,85;6,69;38,54;Alemania
10676;TORTU;2,01;0,42;2,43;Mexico
10677;ANTON;4,03;0,85;4,88;Mexico
10678;SAVEA;388,98;81,69;470,67;Estados Unidos
10679;BLONP;27,94;5,87;33,81;Francia
10680;OLDWO;26,61;5,59;32,20;Estados Unidos
10681;GREAL;76,13;15,99;92,12;Estados Unidos
10682;ANTON;36,13;7,59;43,72;Mexico
10683;DUMON;4,40;0,92;5,32;Francia
10684;OTTIK;145,63;30,58;176,21;Alemania
10685;GOURL;33,75;7,09;40,84;Brasil
10686;PICCO;96,50;20,26;116,76;Austria
10687;HUNGO;296,43;62,25;358,68;Irlanda
10688;VAFFE;299,09;62,81;361,90;Dinamarca
10689;BERGS;13,42;2,82;16,24;Suecia
10690;HANAR;15,80;3,32;19,12;Brasil
10691;QUICK;810,05;170,11;980,16;Alemania
10692;ALFKI;61,02;12,81;73,83;Alemania
10693;WHITC;139,34;29,26;168,60;Estados Unidos
10694;QUICK;398,36;83,66;482,02;Alemania
10695;WILMK;16,72;3,51;20,23;Finlandia
10696;WHITC;102,55;21,54;124,09;Estados Unidos
10697;LINOD;45,52;9,56;55,08;Venezuela
10698;ERNSH;272,47;57,22;329,69;Austria
10699;MORGK;0,58;0,12;0,70;Alemania
10700;SAVEA;65,10;13,67;78,77;Estados Unidos
10701;HUNGO;220,31;46,27;266,58;Irlanda
10702;ALFKI;23,94;5,03;28,97;Alemania
10703;FOLKO;152,30;31,98;184,28;Suecia
10704;QUEEN;4,78;1,00;5,78;Brasil
10705;HILAA;3,52;0,74;4,26;Venezuela
10706;OLDWO;135,63;28,48;164,11;Estados Unidos
10707;AROUT;21,74;4,57;26,31;Reino Unido
10708;THEBI;2,96;0,62;3,58;Estados Unidos
10709;GOURL;210,80;44,27;255,07;Brasil
10710;FRANS;4,98;1,05;6,03;Italia
10711;SAVEA;52,41;11,01;63,42;Estados Unidos
10712;HUNGO;89,93;18,89;108,82;Irlanda
10713;SAVEA;167,05;35,08;202,13;Estados Unidos
10714;SAVEA;24,49;5,14;29,63;Estados Unidos
10715;BONAP;63,20;13,27;76,47;Francia
10716;RANCH;22,57;4,74;27,31;Argentina
10717;FRANK;59,25;12,44;71,69;Alemania
10718;KOENE;170,88;35,88;206,76;Alemania
10719;LETSS;51,44;10,80;62,24;Estados Unidos
10720;QUEDE;9,53;2,00;11,53;Brasil
10721;QUICK;48,92;10,27;59,19;Alemania
10722;SAVEA;74,58;15,66;90,24;Estados Unidos
10723;WHITC;21,72;4,56;26,28;Estados Unidos
10724;MEREP;57,75;12,13;69,88;Canada
10725;FAMIA;10,83;2,27;13,10;Brasil
10726;EASTC;16,56;3,48;20,04;Reino Unido
10727;REGGC;89,90;18,88;108,78;Italia
10728;QUEEN;58,33;12,25;70,58;Brasil
10729;LINOD;141,06;29,62;170,68;Venezuela
10730;BONAP;20,12;4,23;24,35;Francia
10731;CHOPS;96,65;20,30;116,95;Suiza
10732;BONAP;16,97;3,56;20,53;Francia
10733;BERGS;110,11;23,12;133,23;Suecia
10734;GOURL;1,63;0,34;1,97;Brasil
10735;LETSS;45,97;9,65;55,62;Estados Unidos
10736;HUNGO;44,10;9,26;53,36;Irlanda
10737;VINET;7,79;1,64;9,43;Francia
10738;SPECD;2,91;0,61;3,52;Francia
10739;VINET;11,08;2,33;13,41;Francia
10740;WHITC;81,88;17,19;99,07;Estados Unidos
10741;BERGS;10,96;2,30;13,26;Suecia
10742;BOTTM;243,73;51,18;294,91;Canada
10743;AROUT;23,72;4,98;28,70;Reino Unido
10744;VAFFE;69,19;14,53;83,72;Dinamarca
10745;QUICK;3,52;0,74;4,26;Alemania
10746;CHOPS;31,43;6,60;38,03;Suiza
10747;PICCO;117,33;24,64;141,97;Austria
10748;SAVEA;232,55;48,84;281,39;Estados Unidos
10749;ISLAT;61,53;12,92;74,45;Reino Unido
10750;WARTH;79,30;16,65;95,95;Finlandia
10751;RICSU;130,79;27,47;158,26;Suiza
10752;NORTS;1,39;0,29;1,68;Reino Unido
10753;FRANS;7,70;1,62;9,32;Italia
10754;MAGAA;2,38;0,50;2,88;Italia
10755;BONAP;16,71;3,51;20,22;Francia
10756;SPLIR;73,21;15,37;88,58;Estados Unidos
10757;SAVEA;8,19;1,72;9,91;Estados Unidos
10758;RICSU;138,17;29,02;167,19;Suiza
10759;ANATR;11,99;2,52;14,51;Mexico
10760;MAISD;155,64;32,68;188,32;Belgica
10761;RATTC;18,66;3,92;22,58;Estados Unidos
10762;FOLKO;328,74;69,04;397,78;Suecia
10763;FOLIG;37,35;7,84;45,19;Francia
10764;ERNSH;145,45;30,54;175,99;Austria
10765;QUICK;42,74;8,98;51,72;Alemania
10766;OTTIK;157,55;33,09;190,64;Alemania
10767;SUPRD;1,59;0,33;1,92;Belgica
10768;AROUT;146,32;30,73;177,05;Reino Unido
10769;VAFFE;65,06;13,66;78,72;Dinamarca
10770;HANAR;5,32;1,12;6,44;Brasil
10771;ERNSH;11,19;2,35;13,54;Austria
10772;LEHMS;91,28;19,17;110,45;Alemania
10773;ERNSH;96,43;20,25;116,68;Austria
10774;FOLKO;48,20;10,12;58,32;Suecia
10775;THECR;20,25;4,25;24,50;Estados Unidos
10776;ERNSH;351,53;73,82;425,35;Austria
10777;GOURL;3,01;0,63;3,64;Brasil
10778;BERGS;6,79;1,43;8,22;Suecia
10779;MORGK;58,13;12,21;70,34;Alemania
10780;LILAS;42,13;8,85;50,98;Venezuela
10781;WARTH;73,16;15,36;88,52;Finlandia
10782;CACTU;1,10;0,23;1,33;Argentina
10783;HANAR;124,98;26,25;151,23;Brasil
10784;MAGAA;70,09;14,72;84,81;Italia
10785;GROSR;1,51;0,32;1,83;Venezuela
